model,condition,accuracy,balanced_accuracy,f1_score,precision,recall,train_samples,eval_samples,dataset,paraphrase_model_family,paraphrase_model_name,evaluation_model
distilbert-base-uncased,original_original,0.797373358348968,0.7973733583489682,0.7972527472527473,0.7980826567588644,0.797373358348968,8530,1066,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.7607879924953096,0.7607879924953096,0.7560213794310486,0.7828957416911047,0.7607879924953096,8530,1066,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.7692307692307693,0.7692307692307693,0.7655257510729615,0.7873957757963124,0.7692307692307693,8530,1066,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,distilbert-base-uncased
microsoft/DialoGPT-medium,original_original,0.7870544090056285,0.7870544090056285,0.7870002385422691,0.7873467230443975,0.7870544090056285,8530,1066,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,microsoft/DialoGPT-medium
microsoft/DialoGPT-medium,paraphrased_original,0.5938086303939962,0.5938086303939962,0.5195874249970077,0.7455587498157158,0.5938086303939962,8530,1066,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,microsoft/DialoGPT-medium
microsoft/DialoGPT-medium,paraphrased_paraphrased,0.7861163227016885,0.7861163227016885,0.7858441888005414,0.787578057280334,0.7861163227016885,8530,1066,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,microsoft/DialoGPT-medium
Snowflake/snowflake-arctic-embed-l,original_original,0.8602251407129456,0.8602251407129455,0.86018072262642,0.8606834714938251,0.8602251407129456,8530,1066,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,Snowflake/snowflake-arctic-embed-l
Snowflake/snowflake-arctic-embed-l,paraphrased_original,0.8630393996247655,0.8630393996247654,0.8630389175185155,0.8630445113258356,0.8630393996247655,8530,1066,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,Snowflake/snowflake-arctic-embed-l
Snowflake/snowflake-arctic-embed-l,paraphrased_paraphrased,0.8545966228893058,0.8545966228893058,0.8545811385848878,0.8547477180527383,0.8545966228893058,8530,1066,rotten_tomatoes,mistral,mistralai_Mistral_7B_v0.1,Snowflake/snowflake-arctic-embed-l
