model,condition,accuracy,balanced_accuracy,f1_score,precision,recall,train_samples,eval_samples,dataset,paraphrase_model_family,paraphrase_model_name,evaluation_model
distilbert-base-uncased,original_original,0.54125,0.5451977401129944,0.5346945756747238,0.5488114123514432,0.54125,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_7B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.51125,0.5158980423071869,0.501295718951602,0.5179734735109248,0.51125,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_7B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.53125,0.5271349112500079,0.5235954888117746,0.5292792755153881,0.53125,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_7B,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.55375,0.5573042776432606,0.5486685503197719,0.5609655874026893,0.55375,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_7B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.5525,0.5551989288686174,0.5496519356782406,0.5574634087626384,0.5525,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_7B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.5625,0.5681375953350727,0.5494721624529317,0.5784977271278968,0.5625,3000,800,rotten_tomatoes,qwen,Qwen_Qwen2_7B,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.54125,0.5451977401129944,0.5346945756747238,0.5488114123514432,0.54125,3000,800,rotten_tomatoes,gemma,google_gemma_2b,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.49,0.5015797936570503,0.4169657394843962,0.5038076801015551,0.49,3000,800,rotten_tomatoes,gemma,google_gemma_2b,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.49625,0.4975686892172304,0.45864355319887506,0.49663503753929283,0.49625,3000,800,rotten_tomatoes,gemma,google_gemma_2b,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.55375,0.5573042776432606,0.5486685503197719,0.5609655874026893,0.55375,3000,800,rotten_tomatoes,gemma,google_gemma_2b,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.535,0.5377617608599082,0.5318468836134639,0.5395501604388114,0.535,3000,800,rotten_tomatoes,gemma,google_gemma_2b,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.5125,0.5133378334458362,0.498442921024903,0.515061178226465,0.5125,3000,800,rotten_tomatoes,gemma,google_gemma_2b,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.54125,0.5451977401129944,0.5346945756747238,0.5488114123514432,0.54125,3000,800,rotten_tomatoes,gemma,google_gemma_7b,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.4,0.4060351246003591,0.378131783894511,0.3897200416912659,0.4,3000,800,rotten_tomatoes,gemma,google_gemma_7b,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.53125,0.5351953664959126,0.5216611176518253,0.5389559977959784,0.53125,3000,800,rotten_tomatoes,gemma,google_gemma_7b,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.55375,0.5573042776432606,0.5486685503197719,0.5609655874026893,0.55375,3000,800,rotten_tomatoes,gemma,google_gemma_7b,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.52875,0.5311391407173827,0.5263899643402955,0.5324521661686968,0.52875,3000,800,rotten_tomatoes,gemma,google_gemma_7b,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.53125,0.5357457827482033,0.5186826204503074,0.5406721698113208,0.53125,3000,800,rotten_tomatoes,gemma,google_gemma_7b,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.54125,0.5451977401129944,0.5346945756747238,0.5488114123514432,0.54125,3000,800,rotten_tomatoes,llama,meta_llama_Meta_Llama_3_8B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.495,0.49991553578467257,0.4833687071885106,0.5004343384310569,0.495,3000,800,rotten_tomatoes,llama,meta_llama_Meta_Llama_3_8B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.49375,0.4969154919884128,0.48904004954582986,0.49730477987993454,0.49375,3000,800,rotten_tomatoes,llama,meta_llama_Meta_Llama_3_8B,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.55375,0.5573042776432606,0.5486685503197719,0.5609655874026893,0.55375,3000,800,rotten_tomatoes,llama,meta_llama_Meta_Llama_3_8B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.545,0.5479350063504577,0.5415180102915952,0.5502554546686543,0.545,3000,800,rotten_tomatoes,llama,meta_llama_Meta_Llama_3_8B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.54,0.5445564377373601,0.5311326848520612,0.5491858693517697,0.54,3000,800,rotten_tomatoes,llama,meta_llama_Meta_Llama_3_8B,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.54125,0.5451977401129944,0.5346945756747238,0.5488114123514432,0.54125,3000,800,rotten_tomatoes,llama,meta_llama_Meta_Llama_3_70B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.49,0.50117311410177,0.4226469661647029,0.5028,0.49,3000,800,rotten_tomatoes,llama,meta_llama_Meta_Llama_3_70B,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.545,0.5487732458196592,0.499791546866015,0.5772105789891974,0.545,3000,800,rotten_tomatoes,llama,meta_llama_Meta_Llama_3_70B,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.55375,0.5573042776432606,0.5486685503197719,0.5609655874026893,0.55375,3000,800,rotten_tomatoes,llama,meta_llama_Meta_Llama_3_70B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.535,0.5377617608599082,0.5318468836134639,0.5395501604388114,0.535,3000,800,rotten_tomatoes,llama,meta_llama_Meta_Llama_3_70B,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.52125,0.5226597905922801,0.5151405515388566,0.5240096280447664,0.52125,3000,800,rotten_tomatoes,llama,meta_llama_Meta_Llama_3_70B,Snowflake/snowflake-arctic-embed-xs
distilbert-base-uncased,original_original,0.54125,0.5451977401129944,0.5346945756747238,0.5488114123514432,0.54125,3000,800,rotten_tomatoes,phi,microsoft_phi_2,distilbert-base-uncased
distilbert-base-uncased,paraphrased_original,0.4975,0.5016048200912213,0.4895268372304889,0.5022544709911281,0.4975,3000,800,rotten_tomatoes,phi,microsoft_phi_2,distilbert-base-uncased
distilbert-base-uncased,paraphrased_paraphrased,0.5175,0.514061727699883,0.5120993946662098,0.5151377025036818,0.5175,3000,800,rotten_tomatoes,phi,microsoft_phi_2,distilbert-base-uncased
Snowflake/snowflake-arctic-embed-xs,original_original,0.55375,0.5573042776432606,0.5486685503197719,0.5609655874026893,0.55375,3000,800,rotten_tomatoes,phi,microsoft_phi_2,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_original,0.55375,0.5559215671553077,0.5519782208968502,0.557591006764317,0.55375,3000,800,rotten_tomatoes,phi,microsoft_phi_2,Snowflake/snowflake-arctic-embed-xs
Snowflake/snowflake-arctic-embed-xs,paraphrased_paraphrased,0.5625,0.5675682439576804,0.5520763656633222,0.5758187456426752,0.5625,3000,800,rotten_tomatoes,phi,microsoft_phi_2,Snowflake/snowflake-arctic-embed-xs
